Comment,Designator,Footprint,LCSC
X50328MSB2GI,Y2,RESC5032X135N,C115962
100n,"C5,C6,C7",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1525
10k,"R7,R8",R_0805_2012Metric,C17414
S8050_SMD,Q1,SOT-23,C2146
150R,"R4,R5,R6",R_0603_1608Metric,C22808
100,R3,R_0402_1005Metric,C25076
1k5,"R1,R9",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25867
LED_Dual_AKAK,D1,DUAL_LED_COM_CATH_0606,C2827309
10p,"C1,C2",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C32949
2k,R2,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C4109
1u,"C3,C4",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C52923
XC6206PxxxMR,U3,SOT-23-3,C5446
STM32F103CBTx,U4,LQFP-48_7x7mm_P0.5mm,C8304
